35 // V
34 // U
36 // W
1f // \n
15 // v
17 // x
1c // ,
32 // S
14 // u
21 // B
07 // h
04 // e
2e // O
0f // p
0c // m
2c // M
3c // ;
3a // :
23 // D
1d // -
2d // N
3e // +
28 // I
2b // L
18 // y
02 // c
26 // G
2f // P
0b // l
10 // q
1b // !
24 // E
37 // X
29 // J
33 // T
19 // z
39 // Z
25 // F
05 // f
3f // &
00 // a
0a // k
13 // t
0e // o
08 // i
1e // .
22 // C
0d // n
2a // K
31 // R
11 // r
30 // Q
06 // g
03 // d
01 // b
38 // Y
12 // s
20 // A
16 // w
27 // H
3d // _
3b // #
09 // j
1a //   (space)
