07 // h
04 // e
19 // z
17 // x
08 // i
00 // a
29 // J
02 // c
2f // P
34 // U
06 // g
35 // V
16 // w
0d // n
20 // A
1a //   (space)
2c // M
0a // k
0b // l
05 // f
2b // L
23 // D
2a // K
11 // r
37 // X
01 // b
39 // Z
10 // q
14 // u
3c // ;
1c // ,
15 // v
18 // y
09 // j
2e // O
21 // B
27 // H
0f // p
1b // !
36 // W
3f // &
31 // R
32 // S
3d // _
0e // o
33 // T
28 // I
1d // -
38 // Y
03 // d
2d // N
1e // .
25 // F
1f // \n
3b // #
24 // E
13 // t
3e // +
30 // Q
22 // C
26 // G
12 // s
0c // m
3a // :
