 
****************************************
Report : area
Design : enigma
Version: R-2020.09-SP5
Date   : Mon Oct 20 13:36:29 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                          455
Number of nets:                          8185
Number of cells:                         7834
Number of combinational cells:           6568
Number of sequential cells:              1165
Number of macros/black boxes:               0
Number of buf/inv:                       1157
Number of references:                     180

Combinational area:              11282.580252
Buf/Inv area:                     1008.900023
Noncombinational area:            6399.846143
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                 17682.426394
Total area:                      17682.426394

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
--------------------------------  ----------  -------  ----------  ---------  ------  ---------------------------------------
enigma                            17682.4264    100.0  10975.1222  5858.1181  0.0000  enigma
clk_gate_RotorB_reg_reg_10_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_7
clk_gate_RotorB_reg_reg_12_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_8
clk_gate_RotorB_reg_reg_13_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_9
clk_gate_RotorB_reg_reg_15_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_10
clk_gate_RotorB_reg_reg_17_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_11
clk_gate_RotorB_reg_reg_18_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_12
clk_gate_RotorB_reg_reg_1_            6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_1
clk_gate_RotorB_reg_reg_20_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_13
clk_gate_RotorB_reg_reg_22_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_14
clk_gate_RotorB_reg_reg_23_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_15
clk_gate_RotorB_reg_reg_25_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_16
clk_gate_RotorB_reg_reg_27_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_17
clk_gate_RotorB_reg_reg_28_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_18
clk_gate_RotorB_reg_reg_2_            6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_2
clk_gate_RotorB_reg_reg_30_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_19
clk_gate_RotorB_reg_reg_32_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_20
clk_gate_RotorB_reg_reg_33_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_21
clk_gate_RotorB_reg_reg_35_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_22
clk_gate_RotorB_reg_reg_37_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_23
clk_gate_RotorB_reg_reg_38_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_24
clk_gate_RotorB_reg_reg_40_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_25
clk_gate_RotorB_reg_reg_42_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_26
clk_gate_RotorB_reg_reg_43_           6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_mydesign_27
