0A // 10 
0E // 14 
0B // 11 
0B // 11 
0B // 11 

0F // 15 
0A // 10 

04 // 4 
0B // 11 
0E // 14 
0C // 12 
0D // 13 
0A // 10 
09 // 9 
08 // 8 

04 // 4 
0E // 14 
0A // 10 
09 // 9 
0D // 13 
09 // 9 
0F // 15 
0A // 10 

07 // 7 
0B // 11 

0F // 15 
08 // 8 
0D // 13 

09 // 9 
0C // 12 
06 // 6 
0A // 10 
09 // 9 
0D // 13 
08 // 8 
0D // 13 

0A // 10 
0A // 10 
09 // 9 
04 // 4 
08 // 8 
07 // 7 
03 // 3 

0B // 11 
08 // 8 
08 // 8 
0B // 11 
0F // 15 
08 // 8 

0D // 13 

04 // 4 
0F // 15 
0B // 11 
08 // 8 
0D // 13 
07 // 7 
0B // 11 

0A // 10 
0B // 11 
0F // 15 

09 // 9 

04 // 4 
0A // 10 

0B // 11 
11 // 17 
07 // 7 
09 // 9 
0B // 11 
0A // 10 
0A // 10 
09 // 9 

07 // 7 
0A // 10 
0D // 13 
09 // 9 
04 // 4 
08 // 8 
0D // 13 

0C // 12 
0C // 12 
0D // 13 
0C // 12 
0B // 11 

0A // 10 
0D // 13 
0A // 10 
0A // 10 

0A // 10 
07 // 7 

03 // 3 
0D // 13 
0E // 14 
03 // 3 

06 // 6 
08 // 8 
07 // 7 
07 // 7 
0A // 10 
07 // 7 
0D // 13 
0A // 10 

0A // 10 
03 // 3 
07 // 7 
0E // 14 
0D // 13 

0E // 14 
08 // 8 
08 // 8 
07 // 7 
0D // 13 

03 // 3 
09 // 9 
01 // 1 
01 // 1 

0F // 15 
0D // 13 
0A // 10 
0A // 10 

0B // 11 
0E // 14 

09 // 9 
09 // 9 
04 // 4 
0B // 11 

11 // 17 
03 // 3 

0B // 11 
09 // 9 
07 // 7 
04 // 4 
0A // 10 
0B // 11 
0E // 14 
09 // 9 

0A // 10 
0D // 13 
09 // 9 

0C // 12 
03 // 3 
0C // 12 
0B // 11 
01 // 1 
0A // 10 
08 // 8 

06 // 6 
0E // 14 

0A // 10 
0A // 10 
07 // 7 
0F // 15 

08 // 8 

03 // 3 
05 // 5 
08 // 8 
0A // 10 

08 // 8 
0B // 11 

0D // 13 
0A // 10 
09 // 9 
09 // 9 
0B // 11 
0D // 13 

09 // 9 
11 // 17 
03 // 3 

11 // 17 

0F // 15 
11 // 17 
0D // 13 
0F // 15 
0B // 11 
0E // 14 
11 // 17 

