0B // 11 

0D // 13 

0B // 11 

0C // 12 

0D // 13 

05 // 5 

0D // 13 

0A // 10 

0C // 12 

0A // 10 

0B // 11 

0D // 13 

09 // 9 

0B // 11 

0A // 10 

0B // 11 

08 // 8 

09 // 9 

0A // 10 

11 // 17 

0A // 10 

0B // 11 

08 // 8 

0B // 11 

09 // 9 

08 // 8 

09 // 9 

07 // 7 

0A // 10 

09 // 9 

0E // 14 

07 // 7 

0D // 13 

06 // 6 

0D // 13 

0F // 15 

0B // 11 

11 // 17 

0E // 14 

0A // 10 

0E // 14 

0B // 11 

0C // 12 

0A // 10 

0F // 15 

03 // 3 

08 // 8 

08 // 8 

07 // 7 

07 // 7 

07 // 7 

0F // 15 

09 // 9 

03 // 3 

03 // 3 

04 // 4 

0A // 10 

01 // 1 

08 // 8 

04 // 4 

