7F22 // (127,34) 
5A44 // (90,68) 
0F42 // (15,66) 
5A1A // (90,26) 
7B0B // (123,11) 
2E4A // (46,74) 
7C59 // (124,89) 
1E17 // (30,23) 

241F // (36,31) 
2E7B // (46,123) 
6E0B // (110,11) 

5566 // (85,102) 
7C04 // (124,4) 
6976 // (105,118) 
3818 // (56,24) 
0B3F // (11,63) 

1B68 // (27,104) 
0804 // (8,4) 
7741 // (119,65) 
4C46 // (76,70) 
744B // (116,75) 

3B32 // (59,50) 
4C5F // (76,95) 
2E4A // (46,74) 
783E // (120,62) 
382D // (56,45) 
3534 // (53,52) 
1747 // (23,71) 

5546 // (85,70) 
4525 // (69,37) 
5D5A // (93,90) 

701B // (112,27) 
4974 // (73,116) 
342E // (52,46) 
2F5C // (47,92) 
1329 // (19,41) 
0154 // (1,84) 

6062 // (96,98) 
470D // (71,13) 
275E // (39,94) 
3E51 // (62,81) 
2B0E // (43,14) 

4128 // (65,40) 

5424 // (84,36) 
2778 // (39,120) 
3E18 // (62,24) 
527C // (82,124) 
0077 // (0,119) 
0042 // (0,66) 

6B33 // (107,51) 
112E // (17,46) 
5048 // (80,72) 
4A02 // (74,2) 
7C42 // (124,66) 
5046 // (80,70) 
5A08 // (90,8) 
0B60 // (11,96) 

0537 // (5,55) 
3021 // (48,33) 

6B70 // (107,112) 
4626 // (70,38) 
5606 // (86,6) 
0954 // (9,84) 
0A1C // (10,28) 

0E4C // (14,76) 
0730 // (7,48) 
3F78 // (63,120) 
384A // (56,74) 

601C // (96,28) 
1E2E // (30,46) 
6457 // (100,87) 
0F14 // (15,20) 
4C4B // (76,75) 
653F // (101,63) 
057A // (5,122) 

3A51 // (58,81) 
3635 // (54,53) 
2C4A // (44,74) 
414A // (65,74) 
3A1E // (58,30) 

492D // (73,45) 
6F4E // (111,78) 

2F3F // (47,63) 
744F // (116,79) 
6122 // (97,34) 
4651 // (70,81) 
517A // (81,122) 
5F24 // (95,36) 
3044 // (48,68) 

5267 // (82,103) 

5643 // (86,67) 
2B19 // (43,25) 
5914 // (89,20) 
647D // (100,125) 
7528 // (117,40) 
672A // (103,42) 
2F76 // (47,118) 

310C // (49,12) 
777B // (119,123) 
503C // (80,60) 
0D50 // (13,80) 
7024 // (112,36) 
2B18 // (43,24) 
1E4C // (30,76) 
617E // (97,126) 

473B // (71,59) 

2E3C // (46,60) 
6A18 // (106,24) 
3E48 // (62,72) 

534F // (83,79) 
1438 // (20,56) 
6767 // (103,103) 
791A // (121,26) 

2F15 // (47,21) 
5028 // (80,40) 
7461 // (116,97) 
4556 // (69,86) 
010F // (1,15) 
0356 // (3,86) 
2D6D // (45,109) 

0D3C // (13,60) 
2D06 // (45,6) 
347C // (52,124) 
026F // (2,111) 
0137 // (1,55) 

1118 // (17,24) 
1754 // (23,84) 
4642 // (70,66) 
5826 // (88,38) 
794A // (121,74) 
3F44 // (63,68) 

1125 // (17,37) 
5C49 // (92,73) 
1478 // (20,120) 
302C // (48,44) 
6A3C // (106,60) 

422E // (66,46) 
1851 // (24,81) 
5A7E // (90,126) 
2F34 // (47,52) 

7928 // (121,40) 
1652 // (22,82) 
4938 // (73,56) 

4E38 // (78,56) 
0401 // (4,1) 
3670 // (54,112) 
6A15 // (106,21) 
3B2C // (59,44) 

3434 // (52,52) 
395F // (57,95) 
4713 // (71,19) 
0342 // (3,66) 
5D10 // (93,16) 
6B46 // (107,70) 

165A // (22,90) 
7549 // (117,73) 

4277 // (66,119) 
5F36 // (95,54) 

5644 // (86,68) 
2421 // (36,33) 
6928 // (105,40) 

5466 // (84,102) 
7462 // (116,98) 
0275 // (2,117) 
693A // (105,58) 
2014 // (32,20) 
082D // (8,45) 

4E25 // (78,37) 
0C12 // (12,18) 
766F // (118,111) 
0245 // (2,69) 
3C3B // (60,59) 

462D // (70,45) 

6F54 // (111,84) 
456F // (69,111) 

643F // (100,63) 
0332 // (3,50) 

5055 // (80,85) 
1937 // (25,55) 
560B // (86,11) 
4601 // (70,1) 

2236 // (34,54) 
1F63 // (31,99) 
4D77 // (77,119) 
2E0B // (46,11) 
0C3C // (12,60) 
4F11 // (79,17) 
465C // (70,92) 

553C // (85,60) 
1D55 // (29,85) 
680A // (104,10) 
170E // (23,14) 
627E // (98,126) 

221D // (34,29) 
2F2C // (47,44) 
7D37 // (125,55) 
3341 // (51,65) 
2A69 // (42,105) 
023E // (2,62) 

1E29 // (30,41) 
2960 // (41,96) 
7B52 // (123,82) 
1750 // (23,80) 
4C03 // (76,3) 

7A6B // (122,107) 
642B // (100,43) 
225A // (34,90) 
7B1C // (123,28) 
4400 // (68,0) 

0829 // (8,41) 
0E5B // (14,91) 
5D4E // (93,78) 
6523 // (101,35) 
5A37 // (90,55) 
702D // (112,45) 
615E // (97,94) 

1B52 // (27,82) 
2141 // (33,65) 
7343 // (115,67) 
352B // (53,43) 
4A0D // (74,13) 
0640 // (6,64) 
466D // (70,109) 
1869 // (24,105) 

1B3F // (27,63) 
5B62 // (91,98) 
5360 // (83,96) 
3869 // (56,105) 

3D6C // (61,108) 
2B53 // (43,83) 
0C1B // (12,27) 
3106 // (49,6) 
397E // (57,126) 
7321 // (115,33) 

134A // (19,74) 
3B15 // (59,21) 
3545 // (53,69) 
5439 // (84,57) 
4E5A // (78,90) 

390C // (57,12) 
4330 // (67,48) 

4F48 // (79,72) 

0577 // (5,119) 
6B17 // (107,23) 
493E // (73,62) 
2D7D // (45,125) 

3421 // (52,33) 
514C // (81,76) 

5A43 // (90,67) 
3137 // (49,55) 
2215 // (34,21) 

3076 // (48,118) 
231A // (35,26) 
505C // (80,92) 
022A // (2,42) 
7211 // (114,17) 

352B // (53,43) 
615B // (97,91) 
2B51 // (43,81) 
7F2D // (127,45) 
1169 // (17,105) 
2D2E // (45,46) 

5714 // (87,20) 
5263 // (82,99) 
7A43 // (122,67) 
2B36 // (43,54) 
027D // (2,125) 
0C50 // (12,80) 
7E4C // (126,76) 

5411 // (84,17) 
1415 // (20,21) 
4673 // (70,115) 

554D // (85,77) 
355D // (53,93) 
162D // (22,45) 
460E // (70,14) 
4E04 // (78,4) 

491C // (73,28) 
4B40 // (75,64) 
5459 // (84,89) 
156E // (21,110) 

2854 // (40,84) 
0900 // (9,0) 
0165 // (1,101) 
6D49 // (109,73) 
4C54 // (76,84) 
0857 // (8,87) 
217F // (33,127) 

2254 // (34,84) 
553D // (85,61) 
2B36 // (43,54) 
7D7E // (125,126) 

7F57 // (127,87) 
5A0C // (90,12) 

3570 // (53,112) 
5043 // (80,67) 
0822 // (8,34) 
7352 // (115,82) 
4C37 // (76,55) 

4873 // (72,115) 

462C // (70,44) 
7461 // (116,97) 
7C11 // (124,17) 
1E5D // (30,93) 
5D7A // (93,122) 
1921 // (25,33) 

0045 // (0,69) 
7417 // (116,23) 
2417 // (36,23) 
4C4D // (76,77) 

1734 // (23,52) 
502F // (80,47) 
422B // (66,43) 
3377 // (51,119) 
4028 // (64,40) 
0008 // (0,8) 

4156 // (65,86) 
4D2F // (77,47) 
5149 // (81,73) 

4C6A // (76,106) 
4738 // (71,56) 

532F // (83,47) 
096E // (9,110) 
242C // (36,44) 

3052 // (48,82) 
4813 // (72,19) 
0A15 // (10,21) 
4243 // (66,67) 

3A3F // (58,63) 
1439 // (20,57) 
5644 // (86,68) 

344F // (52,79) 
4618 // (70,24) 

4174 // (65,116) 
4E36 // (78,54) 
2B6C // (43,108) 
5531 // (85,49) 

293A // (41,58) 
5A4A // (90,74) 
474C // (71,76) 
367C // (54,124) 
