4660 // (70,96) 
4C2A // (76,42) 
181F // (24,31) 
655D // (101,93) 
671B // (103,27) 

426A // (66,106) 
5823 // (88,35) 

7822 // (120,34) 
612F // (97,47) 
4E5F // (78,95) 
3A24 // (58,36) 
5215 // (82,21) 
1B5D // (27,93) 
7752 // (119,82) 
3364 // (51,100) 

0D0B // (13,11) 
2560 // (37,96) 
4F1E // (79,30) 
5169 // (81,105) 
3035 // (48,53) 
6B4A // (107,74) 
2422 // (36,34) 
513C // (81,60) 

4948 // (73,72) 
4231 // (66,49) 

3671 // (54,113) 
616E // (97,110) 
3427 // (52,39) 

7E06 // (126,6) 
2F52 // (47,82) 
5733 // (87,51) 
1119 // (17,25) 
6F61 // (111,97) 
4D65 // (77,101) 
6949 // (105,73) 
7930 // (121,48) 

032B // (3,43) 
3D31 // (61,49) 
586B // (88,107) 
0E6A // (14,106) 
2B73 // (43,115) 
5645 // (86,69) 
6E2B // (110,43) 

491E // (73,30) 
3237 // (50,55) 
7F2E // (127,46) 
5954 // (89,84) 
2621 // (38,33) 
1544 // (21,68) 

3F63 // (63,99) 

3656 // (54,86) 
4E3C // (78,60) 
3214 // (50,20) 
1452 // (20,82) 
6453 // (100,83) 
511D // (81,29) 
1620 // (22,32) 

375C // (55,92) 
2F30 // (47,48) 
4F35 // (79,53) 

1B19 // (27,25) 

6B7A // (107,122) 
6830 // (104,48) 

1C69 // (28,105) 
577A // (87,122) 
2D24 // (45,36) 
3814 // (56,20) 
7C5A // (124,90) 
134A // (19,74) 
442A // (68,42) 
0025 // (0,37) 

7622 // (118,34) 
685C // (104,92) 
6A4D // (106,77) 
5346 // (83,70) 
4876 // (72,118) 
4F6B // (79,107) 
463D // (70,61) 

1777 // (23,119) 
191E // (25,30) 
3D59 // (61,89) 
472A // (71,42) 
6B2E // (107,46) 

345A // (52,90) 
5D4E // (93,78) 
0531 // (5,49) 
3D33 // (61,51) 

0C65 // (12,101) 
6A62 // (106,98) 

3924 // (57,36) 
4343 // (67,67) 
2234 // (34,52) 
6530 // (101,48) 

3367 // (51,103) 
226F // (34,111) 
5714 // (87,20) 
2202 // (34,2) 
3F47 // (63,71) 
3B16 // (59,22) 
6324 // (99,36) 
6070 // (96,112) 

6051 // (96,81) 
655C // (101,92) 
3051 // (48,81) 
3A13 // (58,19) 
1908 // (25,8) 

5153 // (81,83) 
3236 // (50,54) 
4133 // (65,51) 
4B1B // (75,27) 
2661 // (38,97) 

5F25 // (95,37) 
2230 // (34,48) 
535E // (83,94) 
692B // (105,43) 

4A53 // (74,83) 
5659 // (86,89) 
0B36 // (11,54) 
031E // (3,30) 

3122 // (49,34) 
6767 // (103,103) 

5935 // (89,53) 
4D77 // (77,119) 
2F6B // (47,107) 
