 
****************************************
Report : area
Design : ViT_top
Version: R-2020.09-SP5
Date   : Tue Nov 25 01:27:31 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                         4737
Number of nets:                        145544
Number of cells:                       139457
Number of combinational cells:         128837
Number of sequential cells:             10488
Number of macros/black boxes:               0
Number of buf/inv:                      27218
Number of references:                     243

Combinational area:             191764.192278
Buf/Inv area:                    19138.662427
Noncombinational area:           64928.359448
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                256692.551726
Total area:                     256692.551726

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
--------------------------------  -----------  -------  -----------  ----------  ------  -----------------------------------------
ViT_top                           256692.5517    100.0   52767.5232  32735.8987  0.0000  ViT_top
EXP_LUT_ARRAY_0__exp_lut_stage8     4724.3881      1.8    4724.3881      0.0000  0.0000  exp_lut_mydesign_7
EXP_LUT_ARRAY_1__exp_lut_stage8     4725.4141      1.8    4725.4141      0.0000  0.0000  exp_lut_mydesign_6
EXP_LUT_ARRAY_2__exp_lut_stage8     4728.1501      1.8    4728.1501      0.0000  0.0000  exp_lut_mydesign_5
EXP_LUT_ARRAY_3__exp_lut_stage8     4724.7301      1.8    4724.7301      0.0000  0.0000  exp_lut_mydesign_4
EXP_LUT_ARRAY_4__exp_lut_stage8     4726.7821      1.8    4726.7821      0.0000  0.0000  exp_lut_mydesign_3
EXP_LUT_ARRAY_5__exp_lut_stage8     4725.7561      1.8    4725.7561      0.0000  0.0000  exp_lut_mydesign_2
EXP_LUT_ARRAY_6__exp_lut_stage8     4724.3881      1.8    4724.3881      0.0000  0.0000  exp_lut_mydesign_1
EXP_LUT_ARRAY_7__exp_lut_stage8     4724.0461      1.8    4724.0461      0.0000  0.0000  exp_lut_mydesign_0
clk_gate_a_bank0_reg_h_reg_0_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_89
clk_gate_a_bank0_reg_h_reg_1_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_88
clk_gate_a_bank0_reg_h_reg_2_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_87
clk_gate_a_bank0_reg_h_reg_3_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_86
clk_gate_a_bank0_reg_h_reg_4_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_85
clk_gate_a_bank0_reg_h_reg_5_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_84
clk_gate_a_bank0_reg_h_reg_6_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_83
clk_gate_a_bank0_reg_h_reg_7_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_82
clk_gate_a_bank0_reg_l_reg_0_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_97
clk_gate_a_bank0_reg_l_reg_1_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_96
clk_gate_a_bank0_reg_l_reg_2_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_95
clk_gate_a_bank0_reg_l_reg_3_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_94
clk_gate_a_bank0_reg_l_reg_4_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_93
clk_gate_a_bank0_reg_l_reg_5_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_92
clk_gate_a_bank0_reg_l_reg_6_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_91
clk_gate_a_bank0_reg_l_reg_7_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_90
clk_gate_a_bank1_reg_h_reg_0_          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_73
