 
****************************************
Report : resources
Design : ViT_top
Version: R-2020.09-SP5
Date   : Thu Nov 20 18:19:08 2025
****************************************


Resource Report for this hierarchy in file ../hdl/ViT_top.v
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
=============================================================================
| add_x_10       | DW01_inc       | width=4    | add_274 (ViT_top.v:274)    |
| add_x_12       | DW01_inc       | width=4    | add_320 (ViT_top.v:320)    |
| add_x_14       | DW01_inc       | width=5    | add_327 (ViT_top.v:327)    |
| sub_x_20       | DW01_sub       | width=14   | sub_702 (ViT_top.v:702)    |
| sub_x_21       | DW01_sub       | width=14   | sub_702_I2 (ViT_top.v:702) |
| sub_x_22       | DW01_sub       | width=14   | sub_702_I3 (ViT_top.v:702) |
| sub_x_23       | DW01_sub       | width=14   | sub_702_I4 (ViT_top.v:702) |
| sub_x_24       | DW01_sub       | width=14   | sub_702_I5 (ViT_top.v:702) |
| sub_x_25       | DW01_sub       | width=14   | sub_702_I6 (ViT_top.v:702) |
| sub_x_26       | DW01_sub       | width=14   | sub_702_I7 (ViT_top.v:702) |
| sub_x_27       | DW01_sub       | width=14   | sub_702_I8 (ViT_top.v:702) |
| sub_x_28       | DW01_sub       | width=14   | sub_702_I9 (ViT_top.v:702) |
| sub_x_29       | DW01_sub       | width=14   | sub_702_I10 (ViT_top.v:702) |
| sub_x_30       | DW01_sub       | width=14   | sub_702_I11 (ViT_top.v:702) |
| sub_x_31       | DW01_sub       | width=14   | sub_702_I12 (ViT_top.v:702) |
| sub_x_32       | DW01_sub       | width=14   | sub_702_I13 (ViT_top.v:702) |
| sub_x_33       | DW01_sub       | width=14   | sub_702_I14 (ViT_top.v:702) |
| sub_x_34       | DW01_sub       | width=14   | sub_702_I15 (ViT_top.v:702) |
| sub_x_35       | DW01_sub       | width=14   | sub_702_I16 (ViT_top.v:702) |
| add_x_36       | DW01_inc       | width=14   | add_709 (ViT_top.v:709)    |
| add_x_37       | DW01_inc       | width=14   | add_709_I2 (ViT_top.v:709) |
| add_x_38       | DW01_inc       | width=14   | add_709_I3 (ViT_top.v:709) |
| add_x_39       | DW01_inc       | width=14   | add_709_I4 (ViT_top.v:709) |
| add_x_40       | DW01_inc       | width=14   | add_709_I5 (ViT_top.v:709) |
| add_x_41       | DW01_inc       | width=14   | add_709_I6 (ViT_top.v:709) |
| add_x_42       | DW01_inc       | width=14   | add_709_I7 (ViT_top.v:709) |
| add_x_43       | DW01_inc       | width=14   | add_709_I8 (ViT_top.v:709) |
| add_x_44       | DW01_inc       | width=14   | add_709_I9 (ViT_top.v:709) |
| add_x_45       | DW01_inc       | width=14   | add_709_I10 (ViT_top.v:709) |
| add_x_46       | DW01_inc       | width=14   | add_709_I11 (ViT_top.v:709) |
| add_x_47       | DW01_inc       | width=14   | add_709_I12 (ViT_top.v:709) |
| add_x_48       | DW01_inc       | width=14   | add_709_I13 (ViT_top.v:709) |
| add_x_49       | DW01_inc       | width=14   | add_709_I14 (ViT_top.v:709) |
| add_x_50       | DW01_inc       | width=14   | add_709_I15 (ViT_top.v:709) |
| add_x_51       | DW01_inc       | width=14   | add_709_I16 (ViT_top.v:709) |
| add_x_115      | DW01_add       | width=20   | add_983 (ViT_top.v:983)    |
| add_x_116      | DW01_add       | width=20   | add_983_I2 (ViT_top.v:983) |
| add_x_117      | DW01_add       | width=20   | add_983_I3 (ViT_top.v:983) |
| add_x_118      | DW01_add       | width=20   | add_983_I4 (ViT_top.v:983) |
| add_x_119      | DW01_add       | width=20   | add_983_I5 (ViT_top.v:983) |
| add_x_120      | DW01_add       | width=20   | add_983_I6 (ViT_top.v:983) |
| add_x_121      | DW01_add       | width=20   | add_983_I7 (ViT_top.v:983) |
| add_x_122      | DW01_add       | width=20   | add_983_I8 (ViT_top.v:983) |
| gt_x_123       | DW_cmp         | width=13   | gt_1001 (ViT_top.v:1001)   |
| lt_x_124       | DW_cmp         | width=13   | lt_1003 (ViT_top.v:1003)   |
| gt_x_125       | DW_cmp         | width=13   | gt_1001_I2 (ViT_top.v:1001) |
| lt_x_126       | DW_cmp         | width=13   | lt_1003_I2 (ViT_top.v:1003) |
| gt_x_127       | DW_cmp         | width=13   | gt_1001_I3 (ViT_top.v:1001) |
| lt_x_128       | DW_cmp         | width=13   | lt_1003_I3 (ViT_top.v:1003) |
| gt_x_129       | DW_cmp         | width=13   | gt_1001_I4 (ViT_top.v:1001) |
| lt_x_130       | DW_cmp         | width=13   | lt_1003_I4 (ViT_top.v:1003) |
| gt_x_131       | DW_cmp         | width=13   | gt_1001_I5 (ViT_top.v:1001) |
| lt_x_132       | DW_cmp         | width=13   | lt_1003_I5 (ViT_top.v:1003) |
| gt_x_133       | DW_cmp         | width=13   | gt_1001_I6 (ViT_top.v:1001) |
| lt_x_134       | DW_cmp         | width=13   | lt_1003_I6 (ViT_top.v:1003) |
| gt_x_135       | DW_cmp         | width=13   | gt_1001_I7 (ViT_top.v:1001) |
| lt_x_136       | DW_cmp         | width=13   | lt_1003_I7 (ViT_top.v:1003) |
| gt_x_137       | DW_cmp         | width=13   | gt_1001_I8 (ViT_top.v:1001) |
| lt_x_138       | DW_cmp         | width=13   | lt_1003_I8 (ViT_top.v:1003) |
| gt_x_155       | DW_cmp         | width=5    | gt_1082 (ViT_top.v:1082)   |
| add_x_156      | DW01_inc       | width=4    | add_1083 (ViT_top.v:1083)  |
| add_x_161      | DW01_inc       | width=3    | add_1100 (ViT_top.v:1100)  |
| add_x_163      | DW01_inc       | width=5    | add_1133 (ViT_top.v:1133)  |
| add_x_169      | DW01_inc       | width=5    | add_1245 (ViT_top.v:1245)  |
| add_x_243      | DW01_add       | width=20   | add_1406 (ViT_top.v:1406)  |
| add_x_244      | DW01_add       | width=20   | add_1407 (ViT_top.v:1407)  |
| add_x_245      | DW01_add       | width=20   | add_1408 (ViT_top.v:1408)  |
| add_x_246      | DW01_add       | width=20   | add_1409 (ViT_top.v:1409)  |
| gt_x_247       | DW_cmp         | width=13   | gt_1433 (ViT_top.v:1433)   |
| lt_x_248       | DW_cmp         | width=13   | lt_1435 (ViT_top.v:1435)   |
| gt_x_249       | DW_cmp         | width=13   | gt_1441 (ViT_top.v:1441)   |
| lt_x_250       | DW_cmp         | width=13   | lt_1443 (ViT_top.v:1443)   |
| gt_x_251       | DW_cmp         | width=13   | gt_1449 (ViT_top.v:1449)   |
| lt_x_252       | DW_cmp         | width=13   | lt_1451 (ViT_top.v:1451)   |
| gt_x_253       | DW_cmp         | width=13   | gt_1457 (ViT_top.v:1457)   |
| lt_x_254       | DW_cmp         | width=13   | lt_1459 (ViT_top.v:1459)   |
| add_x_260      | DW01_inc       | width=4    | add_1558 (ViT_top.v:1558)  |
| add_x_261      | DW01_inc       | width=3    | add_1559 (ViT_top.v:1559)  |
| add_x_262      | DW01_inc       | width=2    | add_1560 (ViT_top.v:1560)  |
| add_x_276      | DW01_inc       | width=4    | add_1754 (ViT_top.v:1754)  |
| add_x_278      | DW01_inc       | width=2    | add_1764 (ViT_top.v:1764)  |
| add_x_280      | DW01_inc       | width=4    | add_1789 (ViT_top.v:1789)  |
| mult_x_284     | DW_mult_tc     | a_width=20 | mult_1898 (ViT_top.v:1898) |
|                |                | b_width=7  |                            |
| mult_x_285     | DW_mult_tc     | a_width=20 | mult_1899 (ViT_top.v:1899) |
|                |                | b_width=7  |                            |
| mult_x_286     | DW_mult_tc     | a_width=20 | mult_1900 (ViT_top.v:1900) |
|                |                | b_width=7  |                            |
| mult_x_287     | DW_mult_tc     | a_width=20 | mult_1901 (ViT_top.v:1901) |
|                |                | b_width=7  |                            |
| add_x_288      | DW01_add       | width=30   | add_1916 (ViT_top.v:1916)  |
| add_x_289      | DW01_add       | width=30   | add_1916_I2 (ViT_top.v:1916) |
| add_x_290      | DW01_add       | width=30   | add_1916_I3 (ViT_top.v:1916) |
| add_x_291      | DW01_add       | width=30   | add_1916_I4 (ViT_top.v:1916) |
| gt_x_292       | DW_cmp         | width=17   | gt_1936 (ViT_top.v:1936)   |
| lt_x_293       | DW_cmp         | width=17   | lt_1938 (ViT_top.v:1938)   |
| gt_x_294       | DW_cmp         | width=17   | gt_1936_I2 (ViT_top.v:1936) |
| lt_x_295       | DW_cmp         | width=17   | lt_1938_I2 (ViT_top.v:1938) |
| gt_x_296       | DW_cmp         | width=17   | gt_1936_I3 (ViT_top.v:1936) |
| lt_x_297       | DW_cmp         | width=17   | lt_1938_I3 (ViT_top.v:1938) |
| gt_x_298       | DW_cmp         | width=17   | gt_1936_I4 (ViT_top.v:1936) |
| lt_x_299       | DW_cmp         | width=17   | lt_1938_I4 (ViT_top.v:1938) |
| add_x_308      | DW01_inc       | width=3    | add_2042 (ViT_top.v:2042)  |
| add_x_310      | DW01_inc       | width=5    | add_2051 (ViT_top.v:2051)  |
| add_x_323      | DW01_inc       | width=5    | add_2192 (ViT_top.v:2192)  |
| add_x_324      | DW01_inc       | width=2    | add_2193 (ViT_top.v:2193)  |
| mult_x_343     | DW_mult_uns    | a_width=4  | mult_2355 (ViT_top.v:2355) |
|                |                | b_width=10 |                            |
| mult_x_344     | DW_mult_uns    | a_width=4  | mult_2355_I2 (ViT_top.v:2355) |
              |                | b_width=10 |                            |
| mult_x_345     | DW_mult_uns    | a_width=4  | mult_2355_I3 (ViT_top.v:2355) |
              |                | b_width=10 |                            |
| mult_x_346     | DW_mult_uns    | a_width=4  | mult_2355_I4 (ViT_top.v:2355) |
              |                | b_width=10 |                            |
| mult_x_347     | DW_mult_uns    | a_width=4  | mult_2355_I5 (ViT_top.v:2355) |
              |                | b_width=10 |                            |
| mult_x_348     | DW_mult_uns    | a_width=4  | mult_2355_I6 (ViT_top.v:2355) |
              |                | b_width=10 |                            |
| mult_x_349     | DW_mult_uns    | a_width=4  | mult_2355_I7 (ViT_top.v:2355) |
              |                | b_width=10 |                            |
| mult_x_350     | DW_mult_uns    | a_width=4  | mult_2355_I8 (ViT_top.v:2355) |
              |                | b_width=10 |                            |
| add_x_351      | DW01_add       | width=21   | add_2368 (ViT_top.v:2368)  |
| add_x_352      | DW01_add       | width=21   | add_2368_I2 (ViT_top.v:2368) |
| add_x_353      | DW01_add       | width=21   | add_2368_I3 (ViT_top.v:2368) |
| add_x_354      | DW01_add       | width=21   | add_2368_I4 (ViT_top.v:2368) |
| add_x_355      | DW01_add       | width=21   | add_2368_I5 (ViT_top.v:2368) |
| add_x_356      | DW01_add       | width=21   | add_2368_I6 (ViT_top.v:2368) |
| add_x_357      | DW01_add       | width=21   | add_2368_I7 (ViT_top.v:2368) |
| add_x_358      | DW01_add       | width=21   | add_2368_I8 (ViT_top.v:2368) |
| mult_x_359     | DW_mult_uns    | a_width=22 | mult_2380 (ViT_top.v:2380) |
|                |                | b_width=6  |                            |
| mult_x_360     | DW_mult_uns    | a_width=22 | mult_2380_I2 (ViT_top.v:2380) |
              |                | b_width=6  |                            |
| mult_x_361     | DW_mult_uns    | a_width=22 | mult_2380_I3 (ViT_top.v:2380) |
              |                | b_width=6  |                            |
| mult_x_362     | DW_mult_uns    | a_width=22 | mult_2380_I4 (ViT_top.v:2380) |
              |                | b_width=6  |                            |
| mult_x_363     | DW_mult_uns    | a_width=22 | mult_2380_I5 (ViT_top.v:2380) |
              |                | b_width=6  |                            |
| mult_x_364     | DW_mult_uns    | a_width=22 | mult_2380_I6 (ViT_top.v:2380) |
              |                | b_width=6  |                            |
| mult_x_365     | DW_mult_uns    | a_width=22 | mult_2380_I7 (ViT_top.v:2380) |
              |                | b_width=6  |                            |
| mult_x_366     | DW_mult_uns    | a_width=22 | mult_2380_I8 (ViT_top.v:2380) |
              |                | b_width=6  |                            |
| add_x_367      | DW01_add       | width=29   | add_2391 (ViT_top.v:2391)  |
| add_x_368      | DW01_add       | width=29   | add_2391_I2 (ViT_top.v:2391) |
| add_x_369      | DW01_add       | width=29   | add_2391_I3 (ViT_top.v:2391) |
| add_x_370      | DW01_add       | width=29   | add_2391_I4 (ViT_top.v:2391) |
| add_x_371      | DW01_add       | width=29   | add_2391_I5 (ViT_top.v:2391) |
| add_x_372      | DW01_add       | width=29   | add_2391_I6 (ViT_top.v:2391) |
