 
****************************************
Report : area
Design : fir1_parallel
Version: R-2020.09-SP5
Date   : Sat Oct 25 17:14:57 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                          301
Number of nets:                          8856
Number of cells:                         5782
Number of combinational cells:           5083
Number of sequential cells:               643
Number of macros/black boxes:               0
Number of buf/inv:                        779
Number of references:                     113

Combinational area:              19407.132433
Buf/Inv area:                      610.128014
Noncombinational area:            4132.728092
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                 23539.860525
Total area:                      23539.860525

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
--------------------------------  ----------  -------  ----------  ---------  ------  ----------------------------------------------
fir1_parallel                     23539.8605    100.0  19330.5244  3826.2961  0.0000  fir1_parallel
clk_gate_cnt_reg                      6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_0
clk_gate_pipe1_reg_0_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_55
clk_gate_pipe1_reg_0__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_54
clk_gate_pipe1_reg_0__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_53
clk_gate_pipe1_reg_0__2               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_52
clk_gate_pipe1_reg_1_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_51
clk_gate_pipe1_reg_1__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_50
clk_gate_pipe1_reg_1__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_49
clk_gate_pipe1_reg_2_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_48
clk_gate_pipe1_reg_2__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_47
clk_gate_pipe1_reg_2__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_46
clk_gate_pipe1_reg_3_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_45
clk_gate_pipe1_reg_3__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_44
clk_gate_pipe1_reg_3__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_43
clk_gate_pipe1_reg_4_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_42
clk_gate_pipe1_reg_4__0               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_41
clk_gate_pipe1_reg_4__1               6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_40
clk_gate_pipe1_reg_5_                 6.8400      0.0      1.3680     5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_fir1_parallel_mydesign_39
